00FDC000	00037800	object_link_boy
01014000	0002CF80	object_link_child
01041000	00006000	object_box
01047000	00013180	object_human
0105B000	00003C80	object_okuta
0105F000	000050E0	object_poh
01065000	0000A070	object_wallmaster
01070000	0001D530	object_dy_obj
0108E000	000018C0	object_firefly
01090000	00009940	object_dodongo
0109A000	000040A0	object_fire
0109F000	00002540	object_niw
010A2000	00003A30	object_tite
010A6000	00001EF0	object_reeba
010A8000	00001C90	object_peehat
010AA000	00030CE0	object_kingdodongo
010DB000	0000DF10	object_horse
010E9000	000163A0	object_zf
01100000	0001F600	object_goma
01120000	000143C0	object_zl1
01135000	00004220	object_gol
0113A000	000010C0	object_bubble
0113C000	000020F0	object_dodojr
0113F000	00004770	object_torch2
01144000	00005850	object_bl
0114A000	00001CF0	object_tp
0114C000	00004710	object_oA1
01151000	00005BB0	object_st
01157000	00002260	object_bw
0115A000	00003420	object_ei
0115E000	00009FC0	object_horse_normal
01168000	000066B0	object_oB1
0116F000	00002150	object_o_anime
01172000	000016C0	object_spot04_objects
01174000	00008760	object_ddan_objects
0117D000	00017D20	object_hidan_objects
01195000	0000C090	object_horse_ganon
011A2000	000056D0	object_oA2
011A8000	00001C10	object_spot00_objects
011AA000	000141A0	object_mb
011BF000	00001A00	object_bombf
011C1000	0000E800	object_sk2
011D0000	00006810	object_oE1
011D7000	00005060	object_oE_anime
011DD000	00005A70	object_oE2
011E3000	00009080	object_ydan_objects
011ED000	00013000	object_gnd
01200000	00005B50	object_am
01206000	000039C0	object_dekubaba
0120A000	00002130	object_oA3
0120D000	00001730	object_oA4
0120F000	000016B0	object_oA5
01211000	00001A00	object_oA6
01213000	00001550	object_oA7
01215000	0000BAC0	object_jj
01221000	000017B0	object_oA8
01223000	00000520	object_oA9
01224000	000040E0	object_oB2
01229000	00004490	object_oB3
0122E000	00001870	object_oB4
01230000	00007160	object_horse_zelda
01238000	00005060	object_opening_demo1
0123E000	00002CB0	object_warp1
01241000	00000640	object_b_heart
01242000	00003660	object_dekunuts
01246000	00007120	object_oE3
0124E000	00004FD0	object_oE4
01253000	00008B10	object_menkuri_objects
0125C000	000055C0	object_oE5
01262000	00002E50	object_oE6
01265000	00002A60	object_oE7
01268000	000033D0	object_oE8
0126C000	00002F10	object_oE9
0126F000	000029D0	object_oE10
01272000	000031F0	object_oE11
01276000	000037C0	object_oE12
0127A000	00004850	object_vali
0127F000	00002EB0	object_oA10
01282000	000015C0	object_oA11
01284000	0000B320	object_mizu_objects
01290000	000121E0	object_fhg
012A3000	00009B50	object_ossan
012AD000	000054F0	object_mori_hineri1
012B3000	00001A40	object_Bb
012B5000	00008450	object_toki_objects
012BE000	000014F0	object_yukabyun
012C0000	00010D80	object_zl2
012D1000	00001290	object_mjin
012D3000	00001000	object_mjin_flash
012D4000	00001000	object_mjin_dark
012D5000	00001000	object_mjin_flame
012D6000	00001000	object_mjin_ice
012D7000	00001000	object_mjin_soul
012D8000	00001000	object_mjin_wind
012D9000	00001B60	object_mjin_oka
012DB000	0001D6B0	object_haka_objects
012F9000	00002DA0	object_spot06_objects
012FC000	00008D50	object_ice_objects
01305000	00003630	object_relay_objects
01309000	000034C0	object_mori_hineri1a
0130D000	00004400	object_mori_hineri2
01312000	000060B0	object_mori_hineri2a
01319000	00008A10	object_mori_objects
01322000	00009E00	object_mori_tex
0132C000	00005600	object_spot08_obj
01332000	00000010	object_warp2
01333000	00002FE0	object_hata
01336000	000021A0	object_bird
01339000	000087D0	object_wood02
01342000	00001F40	object_lightbox
01344000	00001600	object_pu_box
01346000	000023E0	object_trap
01349000	00001590	object_vase
0134B000	00012230	object_im
0135E000	0000E3F0	object_ta
0136D000	0000BE50	object_tk
01379000	0001C100	object_xc
01396000	00003F70	object_vm
0139A000	0001F1B0	object_bv
013BA000	00006AF0	object_hakach_objects
013C1000	00000AA0	object_efc_crystal_light
013C2000	00000D00	object_efc_fire_ball
013C3000	00000010	object_efc_flash
013C4000	000012D0	object_efc_lgt_shower
013C6000	000017D0	object_efc_star_field
013C8000	00004350	object_god_lgt
013CD000	00001280	object_light_ring
013CF000	00002910	object_triforce_spot
013D2000	00005140	object_medal
013D8000	0000CD10	object_bdan_objects
013E5000	0000C6E0	object_sd
013F2000	0000EFF0	object_rd
01401000	0000E3C0	object_po_sisters
01410000	00001AE0	object_heavy_object
01412000	00011A00	object_gndd
01424000	00011670	object_fd
01436000	00012030	object_du
01449000	00007DE0	object_fw
01451000	00008B20	object_horse_link_child
0145A000	00016620	object_spot02_objects
01471000	00001460	object_haka
01473000	00013A80	object_ru1
01487000	00003C90	object_syokudai
0148B000	00011A90	object_fd2
0149D000	000090C0	object_dh
014A7000	00007B50	object_rl
014AF000	000012F0	object_efc_tw
014B1000	00000010	object_demo_tre_lgt
014B2000	00000A20	object_gi_key
014B3000	00001D00	object_mir_ray
014B5000	00001AA0	object_brob
014B7000	00003680	object_gi_jewel
014BB000	00018890	object_spot09_obj
014D4000	0000CA10	object_spot18_obj
014E1000	000075C0	object_bdoor
014E9000	00001830	object_spot17_obj
014EB000	00003A20	object_shop_dungen
014EF000	000181E0	object_nb
01508000	00009070	object_mo
01512000	00002CA0	object_sb
01515000	00000D20	object_gi_melody
01516000	000001F0	object_gi_heart
01517000	00000D10	object_gi_compass
01518000	00001010	object_gi_bosskey
0151A000	00005370	object_gi_medal
01520000	000011C0	object_gi_nuts
01522000	00015230	object_sa
01538000	000017B0	object_gi_hearts
0153A000	00000CB0	object_gi_arrowcase
0153B000	00000E60	object_gi_bombpouch
0153C000	00018C50	object_in
01555000	00012E30	object_tr
01568000	00001500	object_spot16_obj
0156A000	00006560	object_oE1s
01571000	00004E00	object_oE4s
01576000	0000A640	object_os_anime
01581000	000008F0	object_gi_bottle
01582000	000006C0	object_gi_stick
01583000	00001160	object_gi_map
01585000	000105A0	object_oF1d_map
01596000	0000F8D0	object_ru2
015A6000	00000D50	object_gi_shield_1
015A7000	00003510	object_dekujr
015AB000	000011D0	object_gi_magicpot
015AD000	00000CB0	object_gi_bomb_1
015AE000	000088A0	object_oF1s
015B7000	00009EF0	object_ma2
015C1000	00001B70	object_gi_purse
015C3000	0000AF70	object_hni
015CE000	0003AFB0	object_tw
01609000	00000E00	object_rr
0160A000	00002BF0	object_bxa
0160D000	000039A0	object_anubice
01611000	00001340	object_gi_gerudo
01613000	00001B10	object_gi_arrow
01615000	000006A0	object_gi_bomb_2
01616000	00001320	object_gi_egg
01618000	00000DF0	object_gi_scale
01619000	00001070	object_gi_shield_2
0161B000	00001560	object_gi_hookshot
0161D000	00000BB0	object_gi_ocarina
0161E000	00001470	object_gi_milk
01620000	00008D80	object_ma1
01629000	00011500	object_ganon
0163B000	0001ABB0	object_sst
01656000	00002170	object_ny
01659000	0000B4B0	object_fr
01665000	00000C60	object_gi_pachinko
01666000	00000DA0	object_gi_boomerang
01667000	00000D30	object_gi_bow
01668000	00001180	object_gi_glasses
0166A000	000018D0	object_gi_liquid
0166C000	00007700	object_ani
01674000	00003BA0	object_demo_6k
01678000	000012C0	object_gi_shield_3
0167A000	00000E00	object_gi_letter
0167B000	00001D00	object_spot15_obj
0167D000	0001C140	object_jya_obj
0169A000	00001860	object_gi_clothes
0169C000	000008C0	object_gi_bean
0169D000	00000950	object_gi_fish
0169E000	00000B80	object_gi_saw
0169F000	00000CC0	object_gi_hammer
016A0000	00000C10	object_gi_grass
