name,vrom_start,vrom_end,rom_start,rom_end,vram_start,overlay_dir
code,A86000,B8AA60,A62500,AFDAA0,80010EE0,
ovl_title,B8AA60,B8B2B0,AFDAA0,AFE0E0,80800000,gamestates
ovl_select,B8B2B0,B8DF30,AFE0E0,AFFBC0,80800850,gamestates
ovl_opening,B8DF30,B8E090,AFFBC0,AFFCF0,808034D0,gamestates
ovl_file_choose,B8E090,B9DFF0,AFFCF0,B08BF0,80803630,gamestates
ovl_kaleido_scope,B9DFF0,BBA770,B08BF0,B17940,808135B0,misc
ovl_player_actor,BBA770,BE0E80,B17940,B30C90,8082FDA0,actors
ovl_map_mark_data,BE0E80,BE79E0,B30C90,B31040,80856580,misc
ovl_En_Test,BE79E0,BED290,B31040,B34510,8085D0E0,actors
ovl_Arms_Hook,BED290,BEE000,B34510,B34FA0,80862990,actors
ovl_Arrow_Fire,BEE000,BEFEE0,B34FA0,B36A60,80863700,actors
ovl_Arrow_Ice,BEFEE0,BF1DE0,B36A60,B382D0,808655E0,actors
ovl_Arrow_Light,BF1DE0,BF3CF0,B382D0,B39BD0,808674E0,actors
ovl_Bg_Bdan_Objects,BF3CF0,BF4FC0,B39BD0,B3A8F0,808693F0,actors
ovl_Bg_Bdan_Switch,BF4FC0,BF63F0,B3A8F0,B3B4A0,8086A6C0,actors
ovl_Bg_Bom_Guard,BF63F0,BF6610,B3B4A0,B3B690,8086BAF0,actors
ovl_Bg_Bombwall,BF6610,BF6ED0,B3B690,B3BD70,8086BD10,actors
ovl_Bg_Bowl_Wall,BF6ED0,BF7850,B3BD70,B3C590,8086C5D0,actors
ovl_Bg_Breakwall,BF7850,BF86C0,B3C590,B3D0F0,8086CF50,actors
ovl_Bg_Ddan_Jd,BF86C0,BF8D10,B3D0F0,B3D5F0,8086DDC0,actors
ovl_Bg_Ddan_Kd,BF8D10,BF9600,B3D5F0,B3DCD0,8086E410,actors
ovl_Bg_Dodoago,BF9600,BFA340,B3DCD0,B3E730,8086ED00,actors
ovl_Bg_Dy_Yoseizo,BFA340,BFD130,B3E730,B40670,8086FAB0,actors
ovl_Bg_Ganon_Otyuka,BFD130,BFF770,B40670,B42390,808728A0,actors
ovl_Bg_Gate_Shutter,BFF770,BFFC00,B42390,B42710,80874EE0,actors
ovl_Bg_Gjyo_Bridge,BFFC00,C000F0,B42710,B42B40,80875370,actors
ovl_Bg_Gnd_Darkmeiro,C000F0,C008B0,B42B40,B43100,80875860,actors
ovl_Bg_Gnd_Firemeiro,C008B0,C00E00,B43100,B43550,80876020,actors
ovl_Bg_Gnd_Iceblock,C00E00,C01EF0,B43550,B44090,80876570,actors
ovl_Bg_Gnd_Nisekabe,C01EF0,C02060,B44090,B441E0,80877670,actors
ovl_Bg_Gnd_Soulmeiro,C02060,C028C0,B441E0,B448E0,808777E0,actors
ovl_Bg_Haka,C028C0,C02F80,B448E0,B44E90,80878040,actors
ovl_Bg_Haka_Gate,C02F80,C04010,B44E90,B45B60,80878700,actors
ovl_Bg_Haka_Huta,C04010,C04AB0,B45B60,B463C0,808797A0,actors
ovl_Bg_Haka_Megane,C04AB0,C04EB0,B463C0,B46710,8087A240,actors
ovl_Bg_Haka_MeganeBG,C04EB0,C05570,B46710,B46C60,8087A640,actors
ovl_Bg_Haka_Sgami,C05570,C06190,B46C60,B475E0,8087AD00,actors
ovl_Bg_Haka_Ship,C06190,C06BE0,B475E0,B47E10,8087B920,actors
